rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-teen08/ses-001	2.772	2.263	2.327	2.034	3.913	2.999	2.603	3.177	2.724	2.594	2.7	2.24	2.508	3.057	3.076	2.8	2.575	2.404	2.184	1.68	2.25	2.509	2.612	2.827	2.676	2.136	2.725	2.392	3.165	2.676	2.615	4.314	2.707	3.289	2.6269	1726771.0	2024913.152148
sub-teen09/ses-001	2.943	2.656	2.595	1.966	3.473	3.063	2.87	3.305	2.712	2.588	2.8	2.289	2.355	3.227	3.008	2.719	2.766	2.724	2.76	1.66	2.173	2.868	2.522	2.702	2.638	2.395	2.934	2.383	3.258	2.95	3.066	4.261	2.311	3.249	2.73496	1751042.0	2016686.398419
sub-teen10/ses-001	2.695	2.755	2.384	2.021	3.288	2.994	2.478	3.105	2.675	2.411	2.542	2.399	2.208	3.142	2.941	2.612	2.392	2.544	2.542	1.667	2.192	2.702	2.569	2.561	2.593	2.146	2.594	2.234	3.025	2.733	2.419	4.005	2.636	3.238	2.58015	1813733.0	2175530.490426
sub-teen11/ses-001	2.444	2.432	2.097	2.029	3.762	2.924	2.385	2.946	2.558	2.386	2.59	2.343	2.508	2.887	2.867	2.597	2.375	2.346	2.29	1.702	1.989	2.728	2.32	2.53	2.565	2.078	2.701	2.0	2.959	2.485	3.101	3.475	2.45	3.465	2.49135	1663039.0	2059228.009765
sub-teen12/ses-001	2.992	2.815	2.579	1.842	3.456	2.83	2.564	2.969	2.6	2.436	2.389	2.156	2.33	3.17	3.069	2.332	2.771	2.849	2.352	1.57	2.043	2.435	2.403	2.328	2.558	2.269	2.636	2.148	3.197	2.686	2.518	3.993	2.437	3.508	2.53947	1719154.0	2173436.531179
sub-teen13/ses-001	2.762	2.528	2.37	1.875	3.211	2.898	2.521	3.149	2.774	2.576	2.619	2.186	2.285	3.051	2.838	2.691	2.623	2.814	2.555	1.654	2.207	2.504	2.471	2.532	2.414	2.346	2.676	2.215	2.874	2.56	3.487	3.81	2.597	3.354	2.57331	1706675.0	2067112.588702
sub-teen14/ses-001	2.664	2.513	2.542	2.089	3.881	3.015	2.648	3.053	2.55	2.617	2.558	2.399	2.235	2.984	3.256	2.882	2.825	2.453	2.59	1.746	2.088	2.729	2.682	2.526	2.888	2.194	2.759	2.183	2.938	2.767	2.843	3.64	2.455	3.349	2.60967	1660087.0	2148949.566624
sub-teen15/ses-001	2.942	1.903	2.151	1.981	3.135	2.547	2.195	2.903	2.627	2.315	2.539	2.045	2.744	2.587	2.45	2.582	2.46	2.338	2.29	1.634	2.017	2.37	2.217	2.188	2.676	2.25	2.462	1.948	2.642	2.264	2.939	3.302	2.358	3.067	2.34256	1570804.0	1948063.270188
sub-teen16/ses-001	2.773	2.296	2.405	1.92	3.756	3.149	2.534	3.115	2.646	2.484	2.557	2.359	2.307	3.129	2.766	2.666	2.459	2.698	2.574	1.565	2.091	2.491	2.642	2.444	1.921	2.132	2.635	2.174	3.243	2.506	2.363	4.138	2.651	3.361	2.57135	1676489.0	2074724.258308
sub-teen17/ses-001	3.072	2.401	2.496	2.086	3.619	2.826	2.496	2.972	2.731	2.309	2.526	2.148	2.331	3.088	2.978	2.531	2.633	2.432	2.45	1.551	2.062	2.651	2.53	2.483	2.533	2.34	2.812	2.167	3.145	2.713	2.913	4.052	2.467	3.493	2.57351	1739921.0	2014317.319885
sub-teen18/ses-001	2.625	2.46	2.651	1.855	3.226	2.665	2.519	2.844	2.508	2.466	2.734	2.071	2.404	2.963	3.066	2.467	2.752	2.57	2.582	1.494	1.998	2.691	2.561	2.479	2.884	2.216	2.595	2.196	3.208	2.741	2.665	4.136	2.485	3.149	2.53823	1702241.0	2167676.373048
sub-teen19/ses-001	2.941	2.411	2.412	2.061	3.778	2.882	2.485	3.171	2.733	2.582	2.715	2.275	2.486	3.094	2.836	2.652	2.957	2.515	2.325	1.662	2.15	2.6	2.572	2.472	2.934	2.131	2.622	2.114	3.367	2.413	2.479	4.053	2.568	3.567	2.59074	1778195.0	2196091.059258
sub-teen20/ses-001	2.558	2.111	2.273	1.82	3.612	2.83	2.507	2.752	2.546	2.415	2.489	2.106	2.104	2.886	2.993	2.192	2.415	2.482	2.165	1.571	1.951	2.523	2.351	2.376	2.183	2.02	2.474	2.091	2.65	2.432	2.846	3.878	2.12	3.268	2.39634	1726042.0	1968628.544612
