lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-21111/ses-001	2.794	2.297	2.573	1.934	3.524	2.827	2.522	2.866	2.27	2.239	2.448	2.299	2.309	3.051	2.842	2.396	2.67	2.882	2.29	1.84	2.273	2.435	2.63	2.252	2.406	2.304	2.663	2.238	2.933	2.706	2.798	3.582	2.093	2.977	2.51767	1622301.0	2176252.89656
sub-22694/ses-001	2.362	2.312	2.588	2.015	2.871	2.67	2.544	2.844	1.986	2.327	2.602	1.951	2.554	2.985	2.394	2.391	2.874	3.211	2.602	1.699	2.005	2.202	2.791	2.334	2.655	2.534	2.741	2.297	2.918	2.541	3.587	3.971	2.492	3.103	2.55851	1389270.0	1918450.83906
sub-22695/ses-001	2.367	1.819	2.864	1.833	2.634	2.8	2.516	2.764	2.312	2.154	2.728	2.153	2.352	2.899	2.398	2.475	2.672	3.258	2.665	1.665	2.137	2.595	2.814	2.369	2.121	2.492	2.813	2.223	2.969	2.386	3.342	3.754	2.672	3.213	2.55163	1533316.0	1990888.366887
sub-22812/ses-001	2.569	2.445	2.427	2.046	3.112	3.008	2.533	2.867	2.241	2.447	2.424	2.323	2.306	2.681	2.672	2.631	2.508	2.852	2.409	1.646	2.185	2.198	2.751	2.462	2.476	2.272	2.792	2.386	2.877	2.489	2.846	3.491	2.38	3.074	2.55433	1556915.0	2148362.231819
sub-23490/ses-001	2.25	2.476	2.786	2.283	3.325	2.805	2.661	2.9	2.471	2.461	2.625	2.356	2.543	3.0	2.627	2.686	2.727	2.926	2.631	1.926	2.325	2.398	2.946	2.452	2.52	2.235	2.972	2.403	3.08	2.749	3.133	3.914	3.133	3.211	2.65327	1665037.0	2194495.326892
sub-23520/ses-001	2.95	2.862	2.674	2.017	3.363	2.906	2.701	2.98	2.583	2.429	2.857	2.25	2.545	2.955	3.416	2.522	2.982	2.704	2.627	1.779	2.201	2.584	2.828	2.596	2.761	2.462	3.151	2.544	3.05	2.753	3.566	3.851	2.864	3.537	2.74097	1596663.0	2261692.182685
sub-23540/ses-001	2.923	2.553	2.761	2.283	3.835	2.972	2.722	2.994	2.702	2.348	2.633	2.491	2.643	2.819	3.499	2.75	2.729	2.892	2.659	1.928	2.313	2.64	2.796	2.579	2.777	2.343	2.904	2.327	3.097	2.658	2.709	3.814	3.101	3.463	2.69596	1688112.0	2228448.428823
sub-23550/ses-001	2.27	2.128	2.645	1.889	3.084	2.709	2.285	2.711	2.504	2.217	2.388	2.333	2.597	2.684	2.28	2.568	2.423	2.566	2.445	1.759	2.142	2.607	2.602	2.427	2.348	2.268	2.792	2.181	2.839	2.522	3.122	3.247	2.698	3.324	2.48019	1578391.0	2247560.009719
sub-23593/ses-001	2.821	3.049	2.798	2.065	3.891	3.002	2.632	3.048	2.511	2.301	2.532	2.3	2.53	3.274	3.18	2.766	2.646	2.857	2.491	1.815	2.179	2.837	2.799	2.556	2.901	2.363	2.943	2.345	2.958	2.858	2.929	4.116	2.71	3.311	2.67843	1647724.0	2220115.850567
sub-23607/ses-001	2.728	2.494	2.531	1.981	3.43	2.827	2.352	2.872	2.511	2.261	2.385	2.324	2.452	2.712	3.097	2.484	2.594	2.699	2.361	1.752	2.126	2.548	2.579	2.42	2.459	2.284	2.776	2.251	2.942	2.483	2.886	3.868	2.932	3.223	2.52155	1562341.0	2102927.043461
sub-23641/ses-001	2.763	2.374	2.74	1.981	2.487	2.947	2.5	2.945	2.343	2.276	2.623	2.345	2.492	2.9	2.29	2.491	2.758	2.83	2.658	1.791	2.059	2.4	2.787	2.295	2.209	2.368	2.913	2.236	2.902	2.647	2.514	3.302	2.917	3.291	2.56722	1625078.0	2230276.248023
sub-23656/ses-001	2.784	2.491	2.729	1.962	3.445	2.92	2.713	3.175	2.569	2.265	2.725	2.208	2.571	3.168	3.332	2.768	2.984	2.567	2.673	2.025	2.282	2.644	2.929	2.622	3.021	2.565	3.037	2.451	3.09	2.935	2.696	3.752	2.898	3.348	2.73867	1655128.0	2212515.994734
sub-23672/ses-001	2.572	2.361	2.919	2.007	3.764	2.719	2.458	2.863	2.356	2.223	2.564	2.469	2.261	2.786	3.146	2.663	2.801	2.879	2.688	1.97	2.167	2.604	2.882	2.258	2.614	2.504	2.969	2.193	2.739	2.761	2.861	3.264	2.474	3.446	2.59776	1514658.0	2115997.253983
sub-23693/ses-001	2.582	2.446	2.722	1.792	3.652	2.811	2.521	3.064	2.421	2.119	2.695	2.152	2.416	2.908	3.263	2.651	2.725	3.013	2.517	1.74	2.17	2.671	2.759	2.479	2.641	2.297	2.885	2.168	2.818	2.773	2.511	4.052	2.37	3.324	2.58322	1686283.0	2314354.302
sub-23732/ses-001	2.677	2.062	2.866	2.045	2.486	2.683	2.788	2.749	2.275	2.394	2.473	2.177	2.182	2.795	1.885	2.637	2.664	3.148	2.58	1.804	2.287	2.409	2.86	2.524	2.215	2.389	2.865	2.398	3.053	2.764	2.424	3.346	2.744	2.947	2.60084	1598529.0	2205610.653623
sub-23757/ses-001	2.555	2.075	2.52	2.11	3.702	2.906	2.568	3.116	2.242	2.235	2.311	2.434	2.417	2.991	2.552	2.561	2.474	3.114	2.292	1.993	2.172	2.201	2.768	2.373	2.249	2.224	2.894	2.183	2.778	2.542	2.57	3.724	2.68	2.979	2.53691	1645623.0	2200267.404642
sub-23777/ses-001	2.242	2.377	2.754	2.034	3.573	2.807	2.296	2.803	2.373	2.007	2.583	2.331	2.423	2.79	2.931	2.584	2.437	2.734	2.427	1.847	2.116	2.586	2.67	2.388	2.607	2.292	2.884	2.278	2.933	2.512	3.045	4.134	2.644	3.134	2.52559	1519646.0	2004493.712085
sub-23780/ses-001	2.482	2.691	2.516	1.928	3.706	2.889	2.497	2.81	2.368	2.354	2.602	2.415	2.288	2.855	2.89	2.591	2.327	2.653	2.383	1.682	2.04	2.439	2.553	2.42	2.557	2.194	2.713	2.266	2.897	2.579	2.491	3.304	2.83	3.078	2.51112	1609262.0	2170525.09869
sub-23809/ses-001	2.337	2.622	2.641	2.198	3.379	2.844	2.556	2.805	2.742	2.231	2.863	2.284	2.519	2.833	2.649	2.568	2.576	2.633	2.529	2.063	2.061	2.571	2.621	2.347	2.564	2.42	2.846	2.23	2.782	2.46	3.0	4.067	2.843	3.092	2.54714	1710833.0	2329055.069478
sub-23911/ses-001	2.69	2.649	2.849	2.017	3.35	2.805	2.531	3.074	2.278	2.357	2.738	2.212	2.339	2.875	2.406	2.601	2.831	3.356	2.795	1.881	2.268	2.376	2.91	2.399	2.773	2.488	3.072	2.318	2.865	2.824	2.84	3.427	2.671	3.174	2.65498	1690014.0	2282752.978856
