lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-002/ses-T1	2.967	3.019	2.602	2.318	3.442	3.07	2.909	3.229	2.905	2.563	2.917	2.44	2.931	3.437	3.698	3.011	2.983	2.981	2.895	1.93	2.454	3.201	2.831	2.883	2.926	2.594	2.921	2.555	3.553	3.094	3.491	2.976	3.162	3.47	2.90451	1907614.0	2546073.885129
sub-003/ses-T1	3.132	2.715	2.501	2.046	4.115	3.221	2.929	3.351	2.681	2.427	3.034	2.259	3.184	3.628	2.899	2.582	2.827	3.104	2.667	1.982	2.372	2.924	2.625	2.722	3.192	2.448	2.752	2.344	3.108	2.826	3.395	3.521	3.032	3.437	2.77838	1543116.0	2094851.740297
sub-004/ses-T1	2.962	3.383	2.212	2.575	3.638	3.175	3.072	3.315	3.149	2.691	3.262	2.689	2.901	3.633	3.818	2.73	3.417	3.329	3.298	2.135	2.283	3.229	2.841	2.852	3.368	2.782	2.951	2.293	3.657	3.196	3.059	3.997	3.422	3.569	2.96724	1865219.0	2352427.008405
sub-005/ses-T1	2.917	2.488	2.159	2.107	3.519	2.828	2.652	3.034	2.495	2.507	2.887	2.252	2.511	3.185	3.112	2.252	2.682	2.756	2.59	1.98	2.262	2.724	2.477	2.341	3.0	2.395	2.348	2.069	2.753	2.607	2.79	3.285	2.665	3.271	2.56938	1717487.0	2156931.058873
sub-006/ses-T1	2.916	2.921	2.621	2.111	3.498	3.183	2.883	3.386	2.737	2.561	2.87	2.302	2.759	3.582	3.247	2.944	2.944	3.395	2.886	2.032	2.33	3.077	2.728	2.858	3.293	2.595	2.872	2.365	3.457	3.083	3.258	4.057	3.158	3.475	2.87118	1742560.0	2212418.645037
sub-007/ses-T1	3.318	3.477	2.499	2.202	3.535	3.183	2.985	3.354	2.763	2.553	3.125	2.35	2.828	3.471	3.415	2.587	3.286	2.923	2.793	1.8	2.409	3.046	2.848	2.802	3.255	2.551	2.654	2.372	3.501	3.032	3.464	4.117	2.657	3.582	2.86639	1797609.0	2264958.190657
sub-008/ses-T1	3.046	3.092	2.782	2.014	3.361	3.125	2.979	3.026	2.688	2.413	3.037	2.398	2.686	3.324	3.303	2.785	3.0	3.265	2.928	1.802	2.523	3.057	2.851	2.802	2.905	2.709	2.959	2.458	3.262	3.132	2.606	2.917	2.947	2.96	2.82663	1784321.0	2348717.887843
sub-009/ses-T1	3.328	3.315	2.438	2.375	3.642	3.284	3.066	3.379	3.108	2.653	3.097	2.53	2.974	3.475	3.408	2.735	3.081	3.083	2.991	2.142	2.371	3.072	2.723	3.015	3.429	2.599	2.592	2.517	3.492	3.134	2.966	3.47	3.528	3.567	2.91756	1918224.0	2379361.533955
sub-010/ses-T1	3.301	2.752	2.298	2.204	3.477	2.958	3.092	3.143	2.942	2.535	3.095	2.457	2.947	3.377	2.414	2.771	3.156	2.921	2.898	1.956	2.367	3.142	2.662	2.891	3.243	2.494	2.654	2.453	3.322	3.167	2.86	3.589	2.912	3.419	2.82386	1999448.0	2468450.301576
sub-011/ses-T1	3.19	3.095	2.699	1.818	3.835	3.095	2.918	3.403	2.936	2.405	2.968	2.465	2.78	3.428	2.403	2.608	2.874	3.302	2.782	1.769	2.356	3.084	2.899	2.79	3.1	2.602	2.706	2.325	3.514	2.936	4.066	4.15	2.781	3.34	2.82925	1662003.0	2108737.110109
