rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-01/ses-T1	3.33	2.862	2.578	2.006	3.386	2.993	2.955	3.137	2.936	2.231	3.049	2.09	3.151	3.616	2.525	2.61	3.021	3.349	3.06	1.623	2.038	2.983	2.673	2.766	3.383	2.642	2.753	2.3	3.411	2.978	3.329	4.038	2.899	3.389	2.79166	1645172.0	2015089.166152
sub-02/ses-T1	3.05	2.925	2.379	2.19	4.013	2.962	2.831	2.978	2.743	2.401	3.111	2.261	2.894	3.204	2.745	2.758	2.831	2.833	2.713	2.009	2.127	2.756	2.586	2.633	3.245	2.421	2.689	2.308	3.093	2.756	2.853	3.334	2.701	3.276	2.69133	1859172.0	2342225.745632
sub-03/ses-T1	3.134	3.18	2.322	2.369	3.468	3.085	2.966	3.17	3.081	2.667	2.953	2.435	2.715	3.334	3.36	2.668	3.121	2.629	2.652	1.904	2.313	3.04	2.525	2.779	2.804	2.133	2.591	2.444	3.128	2.899	2.812	3.173	2.894	3.306	2.75333	1859908.0	2427194.127949
sub-04/ses-T1	2.373	2.679	2.416	2.42	2.7	2.533	2.737	2.598	2.683	2.73	2.927	2.442	2.564	2.869	2.528	2.475	2.785	2.87	2.536	2.166	2.12	2.672	2.395	2.914	2.972	2.394	2.48	2.459	2.637	2.596	2.693	2.483	2.995	3.211	2.58634	1490669.0	2080691.7454
sub-05/ses-T1	3.329	2.985	2.187	2.201	3.571	3.186	3.091	3.435	3.045	2.481	3.027	2.519	3.012	3.457	3.407	2.561	2.997	2.928	2.714	2.171	2.12	3.15	2.464	2.859	3.578	2.443	2.555	2.424	3.324	2.896	2.919	4.058	2.799	3.364	2.80789	1830552.0	2467391.645761
sub-06/ses-T1	2.857	2.768	2.324	2.329	2.703	2.919	2.693	3.022	2.779	2.627	2.955	2.28	2.853	3.229	3.145	2.5	2.87	3.156	2.688	1.824	2.538	2.956	2.372	2.811	3.162	2.547	2.487	2.293	3.214	2.709	2.832	3.274	2.956	3.317	2.74327	1717890.0	2208661.662045
sub-07/ses-T1	2.622	2.793	2.02	1.951	3.801	2.596	2.327	2.626	2.665	2.124	2.739	2.269	2.609	2.946	2.402	2.128	2.45	2.448	2.419	2.068	1.941	2.608	2.217	2.433	3.023	2.228	2.328	2.111	2.686	2.434	2.875	3.489	2.821	3.116	2.40651	1781627.0	2456673.472563
sub-08/ses-T1	3.524	2.857	2.724	2.552	3.901	3.342	3.136	3.578	2.958	2.766	3.243	2.522	2.959	3.928	2.852	2.917	3.311	3.166	2.899	2.067	2.456	2.97	2.622	3.037	3.509	2.351	2.711	2.492	3.742	3.192	3.066	4.228	3.17	3.698	2.98022	1753094.0	2409541.735442
sub-09/ses-T1	2.934	2.636	2.422	2.12	3.766	2.983	2.674	3.073	2.633	2.321	2.746	2.251	2.814	3.242	3.068	2.504	2.895	2.931	2.719	1.554	2.021	2.954	2.57	2.727	3.024	2.418	2.819	2.25	3.076	2.754	2.953	3.672	2.18	3.497	2.64485	1432280.0	1837807.012685
sub-10/ses-T1	3.182	2.84	2.429	2.285	3.85	3.28	3.066	3.438	3.016	2.695	3.146	2.645	2.899	3.652	3.028	2.931	3.388	2.952	2.811	2.224	2.064	3.234	2.624	2.923	3.507	2.394	2.586	2.38	3.524	3.009	2.845	4.159	2.989	3.75	2.89539	1640065.0	2257158.820674
sub-11/ses-T1	3.441	2.687	2.564	2.255	3.881	3.023	3.039	3.077	2.842	2.696	3.185	2.566	2.595	3.407	3.441	2.758	3.18	3.029	2.904	1.759	2.46	2.808	2.821	2.845	2.843	2.335	2.508	2.581	3.176	3.234	2.65	3.285	2.812	3.513	2.82463	1769223.0	2155975.9248
sub-12/ses-T1	2.939	2.804	1.991	2.157	3.405	3.185	2.678	3.28	2.933	2.386	2.912	2.518	2.738	3.399	3.479	2.621	2.941	2.774	2.666	2.162	1.989	3.099	2.493	2.736	3.604	2.238	2.635	2.151	3.22	2.59	3.025	3.955	2.742	3.293	2.68816	1699794.0	2284526.003519
sub-13/ses-T1	3.145	2.919	2.346	2.282	3.657	3.304	2.923	3.269	2.966	2.766	3.096	2.474	2.858	3.375	3.289	2.496	2.958	2.843	2.82	1.949	2.435	3.148	2.649	2.771	3.087	2.333	2.372	2.206	3.524	2.993	2.659	4.403	3.109	3.641	2.81656	1756888.0	2170342.915725
sub-14/ses-T1	3.261	3.11	2.616	2.169	3.921	3.248	3.043	3.336	2.946	2.766	2.955	2.534	2.842	3.614	3.236	2.823	3.367	3.155	3.161	1.883	2.773	3.34	2.346	3.142	3.608	2.742	2.944	2.579	3.401	3.387	3.867	3.657	3.216	3.702	2.98887	1753421.0	2218511.680003
sub-15/ses-T1	3.007	2.948	2.185	2.201	2.956	2.856	2.627	2.812	2.911	2.405	2.764	2.481	2.548	2.808	2.845	2.169	2.847	2.709	2.433	2.074	2.232	2.901	2.322	2.552	2.972	2.408	2.53	2.224	2.987	2.516	3.149	3.009	2.946	3.169	2.57657	1740591.0	2411170.534793
sub-16/ses-T1	3.338	3.371	2.496	2.225	3.792	3.123	2.836	3.257	3.089	2.467	3.149	2.41	2.981	3.353	3.36	2.965	3.24	3.075	2.798	2.034	2.256	3.097	2.813	2.982	3.749	2.733	2.92	2.537	3.588	3.076	3.351	4.44	3.075	3.495	2.92067	1801723.0	2168310.135367
sub-17/ses-T1	3.779	3.022	2.634	2.091	3.769	3.263	3.055	3.551	3.018	2.639	3.18	2.731	2.946	3.807	3.108	2.851	3.446	3.288	2.958	1.962	2.66	3.141	2.93	2.867	3.479	2.595	2.858	2.45	3.585	3.403	3.451	3.766	3.414	3.683	3.00614	1687051.0	2229002.540543
sub-18/ses-T1	3.574	3.297	2.863	2.374	3.66	3.288	3.307	3.65	3.133	2.802	3.45	2.827	3.317	3.668	3.42	2.951	3.358	3.711	3.064	2.07	2.499	3.494	2.823	3.205	3.612	2.857	2.928	2.663	3.733	3.311	3.554	4.549	3.357	3.841	3.13797	1731483.0	2329023.86772
sub-19/ses-T1	2.994	3.207	2.679	2.228	3.698	3.241	2.796	3.292	2.853	2.638	2.966	2.415	2.884	3.684	3.258	2.759	3.159	3.025	2.75	2.031	2.326	2.937	2.891	2.861	3.279	2.631	2.809	2.367	3.582	3.165	2.984	4.038	3.129	3.497	2.89488	1847081.0	2364013.929926
sub-20/ses-T1	3.114	3.323	2.362	2.373	3.369	3.02	2.695	3.179	2.953	2.344	3.108	2.522	2.989	3.434	3.252	2.486	3.102	2.715	2.812	2.213	2.34	3.068	2.24	2.906	3.303	2.293	2.454	2.294	3.292	2.918	3.212	3.82	2.912	3.459	2.74916	1749490.0	2293963.1524
sub-21/ses-T1	3.128	3.055	2.147	2.25	3.991	3.042	2.961	3.166	2.87	2.49	3.105	2.483	2.88	3.434	3.37	2.318	2.937	2.871	2.651	1.81	2.764	3.096	2.267	2.823	3.381	2.361	2.681	2.526	3.418	3.083	3.016	4.068	2.828	3.51	2.80028	1834526.0	2355202.162333
