lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-103/ses-001	2.628	2.702	2.81	2.162	3.481	3.17	2.796	3.221	2.659	2.355	3.033	2.362	2.813	3.225	3.264	2.494	2.968	2.597	2.538	1.826	2.345	2.802	2.829	2.585	3.255	2.479	2.918	2.384	3.423	2.822	2.883	4.068	2.848	3.428	2.77833	1623375.0	2080712.674207
sub-105/ses-001	2.5	2.687	2.462	1.908	3.065	2.956	2.482	2.916	2.814	2.323	2.645	2.119	2.552	3.013	2.784	2.459	2.663	2.773	2.471	1.587	2.12	2.669	2.63	2.534	3.053	2.41	2.706	2.147	3.173	2.614	2.723	3.881	2.647	3.123	2.57763	1743330.0	2188906.196564
sub-106/ses-001	2.974	3.196	2.729	2.167	3.033	3.193	2.609	3.169	2.783	2.324	3.008	2.256	2.747	3.465	3.226	2.704	3.166	3.107	2.784	1.647	2.241	2.868	2.899	2.531	3.256	2.608	2.974	2.269	3.314	2.772	2.669	3.878	2.766	3.35	2.75784	1552261.0	2008023.12085
sub-107/ses-001	2.911	3.205	2.491	1.56	3.046	2.848	2.522	2.877	2.47	2.093	2.771	1.939	2.654	3.0	2.987	2.588	2.846	2.777	2.57	1.566	1.985	2.652	2.688	2.32	3.41	2.179	2.797	2.06	3.147	2.646	2.96	3.556	2.781	3.397	2.55911	1601764.0	2095885.983761
sub-110/ses-001	2.287	2.728	2.555	1.725	3.273	2.807	2.278	2.944	2.28	2.113	2.517	2.07	2.336	3.002	2.494	2.401	2.666	2.651	2.582	1.539	1.847	2.476	2.538	2.33	2.744	2.164	2.562	1.995	2.597	2.314	2.139	3.711	2.265	3.252	2.41554	1481744.0	1996398.784861
sub-111/ses-001	2.582	2.673	2.647	1.726	3.654	2.841	2.476	2.868	2.518	2.157	2.579	1.95	2.407	3.085	3.043	2.213	2.759	2.617	2.329	1.655	2.386	2.42	2.157	2.301	3.129	2.342	2.749	2.187	2.899	2.439	2.539	3.795	2.519	3.293	2.49945	1598141.0	2143197.574094
sub-112/ses-001	2.749	2.762	2.772	1.875	3.792	2.977	2.557	3.003	2.723	2.341	3.013	2.106	2.582	3.157	3.064	2.78	3.067	2.985	2.695	1.581	2.246	2.739	2.739	2.641	3.19	2.493	2.827	2.364	3.216	2.732	2.776	3.303	2.99	3.388	2.68726	1590003.0	2062682.303591
sub-113/ses-001	3.063	2.682	2.799	1.918	3.911	3.225	2.775	3.246	2.669	2.345	2.668	2.227	2.551	3.599	3.232	2.813	2.869	2.787	2.888	1.74	2.308	2.771	3.001	2.625	3.194	2.475	3.006	2.39	3.296	2.935	2.943	3.826	2.422	3.273	2.7806	1696196.0	2165613.426099
sub-114/ses-001	2.968	3.106	2.552	2.024	3.33	2.902	2.521	3.075	2.729	2.366	2.535	2.269	2.191	3.163	2.881	2.633	2.549	2.686	2.397	1.782	2.238	2.735	2.737	2.537	3.049	2.229	2.422	2.322	2.873	2.804	2.488	3.283	2.498	3.056	2.58164	1601536.0	1788535.741985
sub-115/ses-001	2.803	2.674	2.798	1.766	3.239	2.959	2.638	2.977	2.428	2.113	2.638	2.173	2.71	3.094	3.109	2.712	2.9	2.671	2.606	1.58	2.112	2.758	2.83	2.461	3.052	2.415	2.864	2.211	3.172	2.663	2.783	3.619	2.388	3.215	2.63021	1531160.0	1939335.236104
sub-116/ses-001	2.624	2.733	2.445	1.793	3.357	2.82	2.575	2.927	2.684	2.15	2.788	1.95	2.549	3.076	3.434	2.545	2.732	2.421	2.53	1.516	2.012	2.894	2.743	2.566	2.863	2.347	2.797	2.123	2.857	2.486	2.493	3.961	2.47	3.193	2.56637	1584638.0	2056272.094047
sub-118/ses-001	2.672	2.521	2.807	1.905	3.598	3.061	2.601	3.032	2.55	2.277	2.878	2.219	2.804	3.272	3.3	2.79	2.78	2.957	2.787	1.753	2.213	2.656	2.926	2.481	2.709	2.563	2.917	2.263	3.373	2.819	3.032	3.95	3.071	3.487	2.72354	1586494.0	2212380.606099
sub-120/ses-001	2.662	2.419	2.461	1.795	3.662	2.943	2.523	3.121	2.666	2.158	2.563	1.829	2.633	3.138	2.816	2.533	2.752	2.568	2.529	1.394	2.011	2.852	2.709	2.468	3.022	2.22	2.693	2.167	3.155	2.583	2.961	4.005	2.551	3.369	2.54883	1535226.0	2094576.257588
sub-121/ses-001	3.134	2.787	2.696	2.194	3.91	2.996	2.699	3.343	2.937	2.486	2.98	2.394	2.651	3.274	2.994	2.65	2.844	3.168	2.785	1.704	2.213	2.904	2.998	2.662	2.741	2.472	2.78	2.409	3.109	2.697	2.825	3.734	2.416	3.512	2.75007	1511630.0	2046382.443683
sub-122/ses-001	2.79	2.866	2.798	1.896	3.916	2.984	2.605	3.123	2.573	2.269	2.936	2.16	2.779	3.068	2.766	2.509	2.942	2.881	2.558	1.559	2.08	2.858	2.865	2.566	3.094	2.409	2.747	2.21	3.036	2.756	2.494	4.009	2.465	3.297	2.64305	1477329.0	1887296.180834
sub-123/ses-001	2.939	2.737	2.777	1.847	3.631	3.052	2.489	2.971	2.475	2.225	2.578	1.954	2.621	3.171	2.97	2.497	2.897	2.857	2.581	1.611	2.282	2.745	2.722	2.449	2.99	2.259	2.773	2.22	2.913	2.978	2.344	3.532	2.194	3.181	2.62182	1564759.0	2057572.034226
sub-124/ses-001	2.673	2.489	2.408	1.902	3.718	2.896	2.368	3.029	2.78	2.223	2.616	2.047	2.718	3.233	2.33	2.359	2.877	2.529	2.228	1.539	2.059	2.524	2.776	2.431	3.02	2.258	2.835	2.055	2.942	2.456	2.936	3.875	2.549	3.346	2.54367	1497525.0	2034533.956145
sub-125/ses-001	2.782	3.0	2.73	1.797	3.336	3.002	2.498	3.115	2.488	2.172	2.851	2.174	2.703	3.23	3.025	2.706	2.921	2.78	2.826	1.664	2.192	2.413	2.865	2.551	2.976	2.577	2.939	2.138	3.244	2.721	2.695	4.278	2.386	3.385	2.68325	1633886.0	2127460.796934
sub-126/ses-001	2.784	2.69	2.567	1.822	3.326	2.928	2.445	3.088	2.367	2.087	2.87	2.165	2.644	2.899	3.405	2.436	2.886	2.919	2.751	1.546	2.073	2.493	2.699	2.575	3.121	2.494	2.788	2.166	3.046	2.563	3.255	3.919	2.487	3.126	2.5742	1431109.0	1800420.810673
sub-127/ses-001	3.279	2.978	2.764	1.92	3.383	3.128	2.688	3.1	2.456	2.32	2.752	2.33	2.595	3.315	3.577	2.793	2.757	2.574	2.629	1.707	2.093	2.695	2.833	2.659	3.305	2.295	2.887	2.287	3.286	2.887	2.685	3.714	2.951	3.378	2.71703	1623341.0	2148684.251546
sub-128/ses-001	2.766	3.155	2.765	2.074	3.699	3.033	3.018	3.172	2.762	2.472	2.974	2.478	2.874	3.426	3.373	2.892	3.051	3.127	2.844	1.808	2.399	3.102	2.938	2.719	3.32	2.668	3.015	2.6	3.214	3.111	2.726	3.866	2.615	3.556	2.8835	1825612.0	2283492.202262
sub-131/ses-001	3.002	2.861	2.919	2.357	3.448	3.158	3.034	3.304	2.947	2.616	3.092	2.573	2.807	3.337	3.607	3.214	3.061	3.074	3.061	2.317	2.248	3.062	2.907	3.011	3.438	2.734	3.261	2.576	3.455	2.892	3.163	4.117	3.35	3.73	2.96307	2057685.0	2462880.617278
sub-132/ses-001	2.993	2.506	2.611	1.972	3.393	3.016	2.727	3.114	2.813	2.294	2.751	2.14	2.664	3.146	2.811	2.681	2.823	2.819	2.54	1.768	2.142	2.492	2.847	2.615	3.159	2.412	2.832	2.332	3.162	2.767	2.757	3.669	2.57	3.291	2.65537	1764155.0	2186340.846473
sub-134/ses-001	2.87	2.9	2.886	2.216	3.498	3.242	3.068	3.349	3.007	2.692	2.865	2.418	2.942	3.585	3.0	2.945	2.827	3.224	2.729	1.878	2.328	2.771	2.906	2.788	3.139	2.522	3.167	2.606	3.433	3.096	3.154	3.963	3.365	3.482	2.91905	1954318.0	2274993.881819
sub-135/ses-001	2.948	2.795	2.777	2.161	3.32	3.149	2.782	3.257	2.62	2.454	2.908	2.373	2.737	3.224	2.893	3.169	2.804	2.702	2.633	1.528	2.415	3.143	2.908	2.738	3.024	2.543	3.091	2.502	3.166	2.865	3.046	3.851	2.559	3.415	2.80552	1859760.0	2205926.392498
sub-136/ses-001	2.768	2.793	2.962	2.042	3.415	3.163	2.836	3.352	3.021	2.488	3.01	2.375	2.801	3.462	3.486	2.992	3.304	3.264	2.755	1.837	2.472	2.84	2.991	2.927	3.207	2.815	3.094	2.565	3.551	3.068	2.9	3.714	3.279	3.374	2.94633	1672679.0	2177309.628966
sub-141/ses-001	2.788	3.121	2.732	2.117	3.594	3.096	2.804	3.396	2.579	2.28	2.764	2.157	2.751	3.315	3.376	2.757	2.933	3.052	2.769	1.665	2.448	2.801	2.859	2.829	3.093	2.516	2.955	2.514	3.298	2.911	2.915	3.871	2.966	3.495	2.79829	1586012.0	2118069.791038
sub-142/ses-001	2.886	2.652	2.57	1.969	3.158	3.071	2.614	3.231	2.707	2.158	2.821	2.24	2.722	3.328	3.012	2.547	3.015	2.948	2.911	1.62	2.224	2.828	2.657	2.355	2.963	2.55	2.856	2.127	3.343	2.652	3.069	3.781	2.614	3.475	2.66738	1612865.0	2056025.288496
sub-143/ses-highres	3.021	2.586	2.463	1.989	3.541	3.096	2.732	3.297	2.753	2.24	2.795	2.339	2.7	3.418	2.85	2.685	3.093	2.401	2.544	1.656	2.112	2.779	2.84	2.831	2.856	2.336	2.874	2.246	3.314	2.82	2.801	3.687	2.787	3.598	2.7289	1724526.0	2085460.461434
sub-144/ses-001	3.423	2.876	2.845	2.166	3.907	3.208	2.716	3.363	2.971	2.375	3.059	2.389	2.733	3.482	3.262	3.002	2.788	2.833	2.876	1.756	2.496	3.182	2.99	2.798	3.058	2.635	3.127	2.572	3.331	2.901	3.127	3.596	2.815	3.305	2.8772	1809653.0	2201293.773527
sub-146/ses-001	2.865	3.329	2.904	2.423	3.396	3.235	2.918	3.051	2.823	2.719	2.953	2.326	2.833	3.347	3.163	3.054	2.998	2.63	2.732	1.922	2.44	3.215	3.019	2.948	3.077	2.6	3.01	2.645	3.443	3.11	3.053	4.035	2.702	3.581	2.91329	1927191.0	2247796.043822
