rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-01/ses-001	3.076	3.256	2.511	2.463	4.103	3.216	2.613	2.738	3.131	2.458	2.985	2.789	2.9	3.078	3.174	3.067	2.998	2.951	2.495	2.059	2.418	3.38	2.751	2.982	3.055	2.313	2.783	2.504	3.39	2.788	2.858	3.826	3.011	3.363	2.80412	2033842.0	2409174.258006
sub-02/ses-001	2.798	2.681	2.558	2.56	3.415	3.023	2.73	2.996	3.239	2.779	2.964	2.686	2.783	2.715	2.963	2.856	2.867	3.048	2.592	2.11	2.346	3.081	2.844	2.908	2.87	2.566	2.958	2.49	2.954	2.892	3.475	2.879	3.259	3.443	2.79276	1941847.0	2478595.599767
sub-03/ses-001	2.95	2.817	2.651	2.397	3.569	3.094	2.784	3.196	3.058	2.521	2.711	2.444	2.819	3.212	3.018	3.107	2.846	2.843	2.677	2.189	2.378	3.029	2.835	3.197	2.762	2.402	3.125	2.61	3.086	3.134	3.692	4.189	2.896	3.711	2.86119	1951003.0	2353283.215918
sub-04/ses-001	2.613	3.184	2.534	2.512	3.192	2.839	2.587	2.85	2.779	2.452	2.923	2.56	2.844	2.94	2.949	2.801	2.814	3.328	2.696	2.115	2.305	2.939	2.548	2.708	2.656	2.683	2.791	2.473	3.124	2.836	2.98	2.638	2.699	3.454	2.72605	2011629.0	2526300.476501
sub-05/ses-001	3.231	3.124	2.951	2.462	3.567	3.374	2.879	3.335	2.863	2.742	3.369	2.466	3.221	3.143	3.019	3.426	3.251	3.395	2.842	2.024	2.621	3.26	2.876	3.294	3.629	2.868	3.277	2.661	3.495	3.173	3.183	3.825	3.031	3.49	3.03539	1915895.0	2395020.281143
sub-06/ses-001	2.765	3.311	2.656	2.745	4.063	2.994	2.984	3.018	3.398	2.67	3.148	2.682	2.976	3.1	2.72	3.563	3.132	3.188	2.934	2.227	2.409	3.283	3.108	3.399	3.253	2.832	3.306	2.77	3.373	3.127	3.847	3.258	3.255	3.875	3.0286	2464334.0	2417317.994828
sub-07/ses-001	2.773	3.045	2.549	2.248	2.776	2.829	2.294	2.847	2.969	2.459	2.639	2.686	2.843	2.71	2.688	2.469	2.743	2.565	2.516	2.184	2.138	3.339	2.39	2.824	2.815	2.532	2.568	2.602	2.946	2.823	2.955	2.86	2.646	3.121	2.61805	1691725.0	2340986.986247
sub-08/ses-001	2.952	2.903	2.648	2.341	3.533	3.059	2.94	3.151	3.204	2.632	2.666	2.671	2.648	3.211	3.012	3.103	3.056	3.146	2.775	1.975	2.363	3.127	2.929	3.291	3.084	2.526	3.046	2.547	3.337	2.759	3.029	3.807	2.982	3.473	2.86877	1730941.0	2233850.202257
sub-09/ses-001	3.185	3.119	2.983	2.403	3.373	3.35	3.115	3.602	3.163	2.767	3.025	2.466	2.989	3.759	3.359	3.474	3.533	3.726	3.302	2.143	2.535	3.561	2.986	3.242	3.704	2.964	3.364	2.675	3.347	3.495	3.298	3.835	3.393	3.559	3.11709	1975791.0	2482015.085748
sub-10/ses-001	3.254	3.032	3.094	2.31	3.728	3.157	3.062	3.251	3.14	2.708	2.959	2.321	2.814	3.558	3.069	3.007	3.219	3.205	3.147	2.199	2.351	3.038	3.095	3.204	2.97	2.791	3.268	2.767	3.544	3.202	2.863	3.39	3.161	3.523	3.01674	1947132.0	2317435.0896
sub-11/ses-001	3.377	3.364	2.893	2.621	2.953	3.025	2.718	2.982	3.232	2.463	3.06	2.847	3.218	3.277	3.225	2.973	2.943	3.077	3.032	2.447	2.316	3.252	2.873	3.193	3.99	2.631	3.277	2.703	3.568	2.93	3.367	3.018	3.178	3.559	2.97826	2049663.0	1907391.108253
sub-12/ses-001	2.786	3.063	2.999	2.157	2.519	3.083	2.808	3.052	2.995	2.348	2.84	2.35	2.664	3.118	2.709	3.01	2.816	2.801	2.927	1.828	2.343	3.055	2.684	2.755	3.069	2.679	3.135	2.467	3.101	2.914	2.831	3.958	2.494	3.071	2.77991	2059638.0	2449112.27388
sub-13/ses-001	2.958	3.304	2.742	2.493	4.086	2.956	2.917	3.099	3.13	2.685	2.914	2.53	2.778	3.272	3.317	3.461	3.201	3.039	2.982	2.27	2.645	3.437	3.113	3.256	3.251	2.801	3.32	2.954	3.662	3.074	3.309	3.143	3.246	3.397	3.03395	2030104.0	2378076.790948
sub-14/ses-001	2.963	3.126	2.841	2.769	3.775	3.226	2.872	3.458	3.058	2.647	3.368	2.751	3.121	3.427	3.211	3.0	3.417	3.185	3.151	1.908	2.353	3.213	2.818	3.201	3.511	2.674	3.192	2.714	3.412	3.167	3.699	4.47	2.889	3.5	3.00355	2201636.0	2626046.030246
sub-15/ses-001	3.176	3.149	2.936	2.412	3.671	3.465	2.773	3.299	2.981	2.76	3.247	2.824	3.187	3.24	3.088	3.084	3.137	3.085	3.095	2.091	2.756	3.16	2.972	3.336	3.515	2.726	3.296	2.763	3.629	3.027	3.309	4.212	2.916	3.579	3.05813	2142149.0	2581346.013492
